region_name;GID_1
Aysén;CHL.1_1
Antofagasta;CHL.2_1
La Araucanía;CHL.3_1
Arica y Parinacota;CHL.4_1
Atacama;CHL.5_1
Biobío;CHL.6_1
Coquimbo;CHL.7_1
OHiggins;CHL.8_1
Los Lagos;CHL.9_1
Los Ríos;CHL.10_1
Magallanes y Antártica;CHL.11_1
Maule;CHL.12_1
Ñuble;CHL.13_1
Región Metropolitana;CHL.14_1
Tarapacá;CHL.15_1
Valparaíso;CHL.16_1
